stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:StopPlace:41025,,Nytun,,62.460846,6.154053,,,1,,2,,,700
NSR:StopPlace:41022,,Nystøyl Trevare,,62.18731,5.45952,,,1,,2,,,700
NSR:StopPlace:41020,,Brekke,,62.18332,6.166108,,,1,,2,,,700
NSR:StopPlace:41021,,Skjong nordre,,62.50393,6.107596,,,1,,2,,,700
NSR:StopPlace:34737,,Langeset,,61.906216,6.601527,,,1,,2,,,700
NSR:StopPlace:41028,,Nyveien Tomrefjord,,62.611145,6.946717,,,1,,2,,,700
NSR:StopPlace:41027,,Skjongholmen,,62.50729,6.087252,,,1,,2,,,700
NSR:StopPlace:41035,,Skjærahøgda,,63.08664,7.800204,,,1,,2,,,700
NSR:StopPlace:41036,,Brekken,,62.573143,7.824059,,,1,,2,,,700
NSR:StopPlace:41033,,Brekke nedre,,62.186462,6.154136,,,1,,2,,,700
NSR:StopPlace:41034,,Nørvasund,,62.471024,6.238663,,,1,,2,,,700
NSR:StopPlace:42360,,Hallguttu,,63.243702,9.77093,,,1,,2,,,700
NSR:StopPlace:34745,,Langesethøgda,,61.899536,6.612494,,,1,,2,,,700
NSR:StopPlace:41039,,Nørvegata vest,,62.471127,6.206349,,,1,,2,,,700
NSR:StopPlace:41046,,Skjærnæset,,63.080482,7.595429,,,1,,2,,,700
NSR:StopPlace:41044,,Bremsnes rundkjøring,,63.084385,7.661957,,,1,,2,,,700
NSR:StopPlace:42375,,Lønset,,62.582706,9.337155,,,1,,2,,,700
NSR:StopPlace:41040,,Brekkskiftet,,62.871983,7.892473,,,1,,2,,,700
NSR:StopPlace:41041,,Skjæret,,62.88335,6.971341,,,1,,2,,,700
NSR:StopPlace:34754,,Vegtun,,61.89341,6.611522,,,1,,2,,,700
NSR:StopPlace:41057,,Or,,63.03731,7.826875,,,1,,2,,,700
NSR:StopPlace:41058,,Brenskag,,63.439785,7.964469,,,1,,2,,,700
NSR:StopPlace:41056,,Brendehaug,,62.509148,6.426677,,,1,,2,,,700
NSR:StopPlace:41053,,Skjærså,,62.76844,7.428784,,,1,,2,,,700
NSR:StopPlace:41054,,Nåsbru,,62.894608,7.397235,,,1,,2,,,700
NSR:StopPlace:41051,,Brandsæter nord,,62.892105,7.372675,,,1,,2,,,700
NSR:StopPlace:41052,,Bremsnes,,63.082108,7.660754,,,1,,2,,,700
NSR:StopPlace:41050,,Bremsnes kirke,,63.08659,7.653576,,,1,,2,,,700
NSR:StopPlace:34763,,Svarstad kryss,,61.89172,6.638132,,,1,,2,,,700
NSR:StopPlace:34769,,Grønevik,,61.89929,6.698499,,,1,,2,,,700
NSR:StopPlace:41067,,Skjørsætra,,62.79009,7.863841,,,1,,2,,,700
NSR:StopPlace:41064,,Olav Oksviks veg,,62.754124,7.218922,,,1,,2,,,700
NSR:StopPlace:41062,,Olastua,,62.99675,7.475067,,,1,,2,,,700
NSR:StopPlace:41063,,Brevik,,62.58467,7.730844,,,1,,2,,,700
NSR:StopPlace:41060,,Skjølberg,,63.347343,7.99575,,,1,,2,,,700
NSR:StopPlace:58740,,Aukra ferjekai,,62.78057,6.91736,,,1,,2,,,1000
NSR:StopPlace:41061,,Brenslene,,62.15189,6.09328,,,1,,2,,,700
NSR:StopPlace:58742,,Småge ferjekai,,62.80656,6.76741,,,1,,2,,,1000
NSR:StopPlace:34771,,Vinsrygg kryss,,61.887997,6.658641,,,1,,2,,,700
NSR:StopPlace:58744,,Finnøya ferjekai,,62.804176,6.509003,,,1,,2,,,1000
NSR:StopPlace:37800,,Røyset,,62.34871,7.092037,,,1,,2,,,700
