i,j,t,r
0,78,0,118.9764
0,78,1,67.97639
0,78,2,131.9764
0,78,3,99.97639
0,78,4,75.97639
0,78,5,84.97639
0,78,6,95.97639
0,78,7,109.9764
0,78,8,110.9764
0,78,9,68.97639
0,78,10,84.97639
0,78,11,122.9764
0,78,12,102.9764
0,78,13,118.9764
0,78,14,132.9764
0,78,15,118.9764
0,78,16,87.97639
0,78,17,59.9764
0,78,18,110.9764
0,78,19,85.97639
0,99,0,83.84104
0,99,1,4.84104
0,99,2,64.84104
0,99,3,85.84104
0,99,4,75.84104
0,99,5,64.84104
0,99,6,29.84104
0,99,7,100.841
0,99,8,8.84104
0,99,9,24.84104
0,99,10,96.84104
0,99,11,53.84104
0,99,12,68.84104
0,99,13,70.84104
0,99,14,79.84104
0,99,15,19.84104
0,99,16,99.84104
0,99,17,23.84104
0,99,18,94.84104
0,99,19,73.84104
0,100,0,74.54376
0,100,1,22.54376
0,100,2,19.54376
0,100,3,92.54376
0,100,4,43.54376
0,100,5,53.54376
0,100,6,80.54376
0,100,7,12.54376
0,100,8,85.54376
0,100,9,44.54376
0,100,10,96.54376
0,100,11,41.54376
0,100,12,73.54376
0,100,13,32.54376
0,100,14,19.54376
0,100,15,57.54376
0,100,16,50.54376
0,100,17,43.54376
0,100,18,54.54376
0,100,19,34.54376
1,5,0,75.55152
1,5,1,63.55152
1,5,2,67.55152
1,5,3,95.55152
1,5,4,109.5515
1,5,5,104.5515
1,5,6,42.55152
1,5,7,112.5515
1,5,8,56.55152
1,5,9,74.55152
1,5,10,95.55152
1,5,11,41.55152
1,5,12,56.55152
1,5,13,90.55152
1,5,14,114.5515
1,5,15,37.55152
1,5,16,58.55152
1,5,17,109.5515
1,5,18,25.55152
1,5,19,98.55152
1,78,0,82.34912
1,78,1,76.34912
1,78,2,53.34912
1,78,3,61.34912
1,78,4,102.3491
1,78,5,93.34912
1,78,6,103.3491
1,78,7,52.34912
1,78,8,84.34912
1,78,9,83.34912
1,78,10,85.34912
1,78,11,140.3491
1,78,12,122.3491
1,78,13,72.34912
1,78,14,94.34912
1,78,15,115.3491
1,78,16,119.3491
1,78,17,45.34912
1,78,18,60.34912
1,78,19,108.3491
1,85,0,102.398
1,85,1,76.39799
1,85,2,38.398
1,85,3,58.398
1,85,4,94.39799
1,85,5,85.39799
1,85,6,75.39799
1,85,7,58.398
1,85,8,83.39799
1,85,9,117.398
1,85,10,104.398
1,85,11,70.39799
1,85,12,52.398
1,85,13,101.398
1,85,14,104.398
1,85,15,70.39799
1,85,16,103.398
1,85,17,50.398
1,85,18,52.398
1,85,19,118.398
2,7,0,52.72456
2,7,1,67.72456
2,7,2,142.7245
2,7,3,143.7245
2,7,4,80.72456
2,7,5,121.7246
2,7,6,91.72456
2,7,7,97.72456
2,7,8,81.72456
2,7,9,147.7245
2,7,10,124.7246
2,7,11,125.7246
2,7,12,86.72456
2,7,13,77.72456
2,7,14,112.7246
2,7,15,119.7246
2,7,16,94.72456
2,7,17,78.72456
2,7,18,111.7246
2,7,19,118.7246
2,53,0,90.3564
2,53,1,132.3564
2,53,2,160.3564
2,53,3,69.3564
2,53,4,80.3564
2,53,5,135.3564
2,53,6,127.3564
2,53,7,70.3564
2,53,8,130.3564
2,53,9,157.3564
2,53,10,151.3564
2,53,11,71.3564
2,53,12,151.3564
2,53,13,86.3564
2,53,14,138.3564
2,53,15,81.3564
2,53,16,154.3564
2,53,17,73.3564
2,53,18,148.3564
2,53,19,76.3564
2,70,0,101.5526
2,70,1,35.55264
2,70,2,32.55264
2,70,3,88.55264
2,70,4,103.5526
2,70,5,25.55264
2,70,6,41.55264
2,70,7,46.55264
2,70,8,59.55264
2,70,9,48.55264
2,70,10,109.5526
2,70,11,26.55264
2,70,12,88.55264
2,70,13,56.55264
2,70,14,78.55264
2,70,15,41.55264
2,70,16,49.55264
2,70,17,29.55264
2,70,18,59.55264
2,70,19,121.5526
2,118,0,69.88256
2,118,1,108.8826
2,118,2,70.88256
2,118,3,123.8826
2,118,4,116.8826
2,118,5,50.88256
2,118,6,89.88256
2,118,7,66.88256
2,118,8,118.8826
2,118,9,85.88256
2,118,10,89.88256
2,118,11,106.8826
2,118,12,51.88256
2,118,13,93.88256
2,118,14,101.8826
2,118,15,28.88256
2,118,16,90.88256
2,118,17,44.88256
2,118,18,93.88256
2,118,19,54.88256
3,50,0,46.70712
3,50,1,107.7071
3,50,2,32.70712
3,50,3,107.7071
3,50,4,89.70712
3,50,5,97.70712
3,50,6,26.70712
3,50,7,75.70712
3,50,8,111.7071
