i,j,t,r
0,17,0,91.09431
0,17,1,140.0943
0,17,2,125.0943
0,17,3,120.0943
0,17,4,118.0943
0,17,5,60.09431
0,17,6,97.09431
0,17,7,64.09431
0,17,8,66.09431
0,17,9,61.09431
0,17,10,131.0943
0,17,11,151.0943
0,17,12,103.0943
0,17,13,78.09431
0,17,14,151.0943
0,17,15,69.09431
0,17,16,133.0943
0,17,17,84.09431
0,17,18,130.0943
0,17,19,102.0943
0,22,0,132.6412
0,22,1,163.6412
0,22,2,185.6412
0,22,3,184.6412
0,22,4,107.6412
0,22,5,185.6412
0,22,6,113.6412
0,22,7,178.6412
0,22,8,137.6412
0,22,9,194.6412
0,22,10,109.6412
0,22,11,113.6412
0,22,12,199.6412
0,22,13,126.6412
0,22,14,142.6412
0,22,15,119.6412
0,22,16,160.6412
0,22,17,195.6412
0,22,18,123.6412
0,22,19,137.6412
0,27,0,128.5167
0,27,1,104.5167
0,27,2,114.5167
0,27,3,103.5167
0,27,4,126.5167
0,27,5,112.5167
0,27,6,111.5167
0,27,7,133.5167
0,27,8,55.51672
0,27,9,61.51672
0,27,10,78.51672
0,27,11,111.5167
0,27,12,114.5167
0,27,13,134.5167
0,27,14,104.5167
0,27,15,60.51672
0,27,16,80.51672
0,27,17,96.51672
0,27,18,79.51672
0,27,19,117.5167
1,5,0,152.1653
1,5,1,151.1653
1,5,2,87.16528
1,5,3,65.16528
1,5,4,97.16528
1,5,5,140.1653
1,5,6,138.1653
1,5,7,81.16528
1,5,8,118.1653
1,5,9,144.1653
1,5,10,126.1653
1,5,11,79.16528
1,5,12,91.16528
1,5,13,121.1653
1,5,14,84.16528
1,5,15,59.16528
1,5,16,99.16528
1,5,17,129.1653
1,5,18,93.16528
1,5,19,131.1653
1,18,0,67.71304
1,18,1,87.71304
1,18,2,122.713
1,18,3,46.71304
1,18,4,37.71304
1,18,5,75.71304
1,18,6,126.713
1,18,7,74.71304
1,18,8,122.713
1,18,9,53.71304
1,18,10,128.713
1,18,11,97.71304
1,18,12,50.71304
1,18,13,117.713
1,18,14,41.71304
1,18,15,78.71304
1,18,16,80.71304
1,18,17,123.713
1,18,18,89.71304
1,18,19,110.713
2,3,0,113.1117
2,3,1,104.1117
2,3,2,158.1117
2,3,3,126.1117
2,3,4,118.1117
2,3,5,143.1117
2,3,6,107.1117
2,3,7,128.1117
2,3,8,99.11168
2,3,9,90.11168
2,3,10,130.1117
2,3,11,109.1117
2,3,12,124.1117
2,3,13,161.1117
2,3,14,122.1117
2,3,15,118.1117
2,3,16,81.11168
2,3,17,126.1117
2,3,18,106.1117
2,3,19,155.1117
2,16,0,117.8666
2,16,1,132.8666
2,16,2,59.86656
2,16,3,145.8666
2,16,4,57.86656
2,16,5,57.86656
2,16,6,142.8666
2,16,7,76.86656
2,16,8,123.8666
2,16,9,57.86656
2,16,10,129.8666
2,16,11,138.8666
2,16,12,116.8666
2,16,13,87.86656
2,16,14,136.8666
2,16,15,143.8666
2,16,16,85.86656
2,16,17,59.86656
2,16,18,98.86656
2,16,19,64.86656
3,2,0,92.11168
3,2,1,78.11168
3,2,2,107.1117
3,2,3,128.1117
3,2,4,150.1117
3,2,5,94.11168
3,2,6,134.1117
3,2,7,116.1117
3,2,8,170.1117
3,2,9,170.1117
3,2,10,101.1117
3,2,11,139.1117
3,2,12,122.1117
3,2,13,151.1117
3,2,14,80.11168
3,2,15,165.1117
3,2,16,86.11168
3,2,17,112.1117
3,2,18,73.11168
3,2,19,124.1117
3,4,0,80.886
3,4,1,81.886
3,4,2,56.886
3,4,3,78.886
3,4,4,23.886
3,4,5,31.886
3,4,6,59.886
3,4,7,104.886
3,4,8,31.886
3,4,9,85.886
3,4,10,86.886
3,4,11,121.886
3,4,12,77.886
3,4,13,122.886
3,4,14,95.886
3,4,15,45.886
3,4,16,39.886
3,4,17,55.886
3,4,18,75.886
3,4,19,85.886
4,3,0,77.886
4,3,1,116.886
4,3,2,24.886
4,3,3,115.886
4,3,4,64.886
4,3,5,59.886
4,3,6,66.886
4,3,7,29.886
4,3,8,115.886
4,3,9,28.886
4,3,10,59.886
4,3,11,37.886
4,3,12,40.886
4,3,13,113.886
4,3,14,81.886
4,3,15,89.886
4,3,16,37.886
4,3,17,67.886
4,3,18,39.886
4,3,19,68.886
4,25,0,63.32552
4,25,1,88.32552
4,25,2,65.32552
4,25,3,78.32552
4,25,4,88.32552
4,25,5,111.3255
4,25,6,81.32552
4,25,7,50.32552
4,25,8,100.3255
4,25,9,123.3255
4,25,10,96.32552
4,25,11,76.32552
4,25,12,99.32552
4,25,13,54.32552
4,25,14,124.3255
4,25,15,132.3255
4,25,16,74.32552
4,25,17,120.3255
