id,startId,stopId,name,type,length,maxSpeed,list0,list1
1,24492641,5086232880,Jordmorvegen,secondary,202.933,80,6.2208352@6.220606@6.2204906@6.2203136@6.2199676@6.219607@6.2194395@6.2183422@6.2181408@6.2177402@6.2175975@6.2172097@6.2171634@6.2170594@6.2170192,62.6168039@62.6167248@62.6167019@62.616684@62.6166896@62.6166955@62.6167088@62.6168216@62.6168565@62.6169199@62.616938@62.6169639@62.6169632@62.6169513@62.616948
2,33653973,5086250573,Ullavegen,secondary,136.655,80,6.2760765@6.2757728@6.2755626@6.2753301@6.2751366@6.2748705@6.2747075@6.2745591@6.2742982@6.2741135@6.273931@6.2735394@6.2734808,62.6373327@62.637357@62.6373742@62.6373922@62.6374156@62.6374377@62.6374414@62.6374359@62.6374179@62.6373977@62.6373723@62.6372958@62.6372841
3,173850696,5086231330,Hildrestrandvegen,unclassified,176.48,60,6.2811288@6.2811597@6.2812309@6.2812689@6.2813345@6.2814309@6.2815869@6.2817364@6.282588@6.2827934@6.2829647,62.5922777@62.5921136@62.5918154@62.591759@62.5917171@62.5916752@62.5916191@62.591558@62.5911695@62.5910911@62.5910422
4,249388063,278339233,Keiser Wilhelms gate,residential,10.175,50,,
5,249388063,7379971352,Sjøgata,trunk,21.412,50,6.155932@6.1560028@6.156062@6.156096@6.156227,62.471033@62.4709925@62.470958@62.47094@62.4709
6,256306948,7379971103,Borgundvegen,primary,8.691,50,,
7,256306948,7379971107,Niovegen,tertiary,33.41,50,6.2397003@6.239774@6.239839@6.239886@6.239854,62.470936@62.471005@62.471083@62.471154@62.471218
8,275605016,7379971272,Skansegata,tertiary,214.581,50,6.1560912@6.156075@6.1560142@6.155898@6.15574@6.1554654@6.1553643@6.155298@6.154912@6.154785@6.154739@6.154703@6.154686@6.154698@6.1547765@6.154798@6.1548381,62.4740306@62.473994@62.4739157@62.473764@62.473591@62.4733034@62.4731976@62.473128@62.472793@62.472688@62.472641@62.472589@62.472528@62.472484@62.4723367@62.4723052@62.4722504
9,275605057,278339234,Notenesgata,tertiary,10.001,50,,
10,275605057,278340782,Korsegata,tertiary,133.659,50,6.1548855@6.1549452@6.1553651@6.1554295@6.1554952@6.1555799@6.1557586@6.155849,62.4721929@62.4721292@62.4715847@62.4714912@62.4713975@62.4712982@62.4711496@62.47108
