id,startId,stopId,name,type,length,maxSpeed,list0,list1
1,24514503,5901767836,Grytolbakken,secondary,64.213,80,,
2,249388063,278339233,Keiser Wilhelms gate,residential,10.175,50,,
3,249388063,7379971352,Sjøgata,trunk,21.412,50,6.155932@6.1560028@6.156062@6.156096@6.156227,62.471033@62.4709925@62.470958@62.47094@62.4709
4,256306948,7379971103,Borgundvegen,primary,8.691,50,,
5,256306948,7379971107,Niovegen,tertiary,33.41,50,6.2397003@6.239774@6.239839@6.239886@6.239854,62.470936@62.471005@62.471083@62.471154@62.471218
6,275605016,7379971272,Skansegata,tertiary,214.581,50,6.1560912@6.156075@6.1560142@6.155898@6.15574@6.1554654@6.1553643@6.155298@6.154912@6.154785@6.154739@6.154703@6.154686@6.154698@6.1547765@6.154798@6.1548381,62.4740306@62.473994@62.4739157@62.473764@62.473591@62.4733034@62.4731976@62.473128@62.472793@62.472688@62.472641@62.472589@62.472528@62.472484@62.4723367@62.4723052@62.4722504
7,275605057,278339234,Notenesgata,tertiary,10.001,50,,
8,275605057,278340782,Korsegata,tertiary,133.659,50,6.1548855@6.1549452@6.1553651@6.1554295@6.1554952@6.1555799@6.1557586@6.155849,62.4721929@62.4721292@62.4715847@62.4714912@62.4713975@62.4712982@62.4711496@62.47108
9,275605058,7379970991,Lorkenesgata,trunk,24.899,50,6.152239@6.1522894@6.152342@6.1523946@6.152446@6.15249@6.152546,62.470769@62.4707574@62.47074@62.4707141@62.470684@62.470649@62.470602
10,275605058,7379971152,Rasmus Rønnebergs gate,tertiary,61.314,50,6.152239@6.152282@6.152324@6.1524573@6.1527946@6.15309@6.153146@6.1531716,62.470769@62.470789@62.470804@62.4708426@62.4709384@62.471038@62.471074@62.4711012
11,275605058,7379971001,Nedre Strandgate,trunk,44.046,50,6.152239@6.1521952@6.152146@6.152076@6.151947@6.1517163@6.151477@6.151396,62.470769@62.4707758@62.470782@62.470789@62.4708@62.470821@62.4708319@62.470828
12,277917634,7379971229,Sorenskriver Bulls gate,unclassified,40.729,50,,
13,277917634,7379971023,Tollbugata,residential,182.307,50,6.156163@6.156033@6.155655@6.15476@6.154532@6.15401@6.1538838@6.1537861@6.153746@6.1537278@6.1537801@6.153795@6.154043@6.154296,62.475676@62.475667@62.475627@62.475527@62.475501@62.47545@62.4754316@62.4754131@62.4753974@62.4753632@62.4752083@62.475148@62.475156@62.475163
14,277917634,282365547,Kongens gate,unclassified,20.052,nan,6.156163@6.1560899@6.1560714,62.475676@62.4758158@62.4758513
15,277917641,7379962117,Per Bolstads plass,unclassified,42.198,nan,6.1569976@6.1569239@6.1568814@6.1565714@6.1562659@6.1561972,62.4740326@62.4740224@62.4740179@62.4739851@62.4740151@62.4740219
16,277918686,7379970606,Storgata,tertiary,81.104,50,,
17,277918686,6284501002,Einarvikgata,unclassified,16.542,nan,,
18,277918686,7379970608,Storgata,tertiary,69.631,50,6.158004@6.1579809@6.157887@6.157797@6.157746,62.474135@62.4741971@62.474427@62.474678@62.474749
19,277918686,7379970885,Einarvikgata,unclassified,54.528,50,6.158004@6.158703@6.158798@6.1590595,62.474135@62.474173@62.47417@62.4741779
20,277918696,7379970885,Einarvikgata,unclassified,168.43,50,6.1621256@6.162007@6.161957@6.161884@6.161799@6.1616574@6.1611033@6.1602706@6.1602269@6.159559@6.159296@6.1590595,62.4745164@62.474422@62.474393@62.474369@62.474353@62.4743137@62.474283@62.474244@62.474242@62.474204@62.474189@62.4741779
21,277936275,7379970517,Keiser Wilhelms gate,residential,97.224,50,6.160227@6.1602761@6.1603804@6.161309@6.16195@6.1621,62.471525@62.4715287@62.4715367@62.4716066@62.47164@62.471645
22,277936275,7379970863,Storgata,residential,52.745,50,6.160227@6.160193@6.160037@6.159941,62.471525@62.471592@62.471903@62.471977
23,278085706,7379971228,Grimmergata,residential,158.698,50,6.158708@6.15855@6.157753@6.157232@6.157214@6.157206@6.157276@6.157271,62.472316@62.47227@62.472059@62.472407@62.472428@62.472479@62.472844@62.472897
24,278086199,7379970412,Gjerdegata,unclassified,32.712,50,6.165644@6.165629@6.1655935@6.165568,62.471828@62.471901@62.4720459@62.47212
25,278086199,7379970799,Borgundvegen,residential,133.601,50,6.165644@6.165802@6.165951@6.166891@6.16693@6.1669798@6.167088@6.16754@6.1678419@6.167909@6.167999@6.168206,62.471828@62.471837@62.47183@62.471723@62.4717195@62.4717158@62.471715@62.47173@62.4717457@62.471749@62.471752@62.471767
26,278086241,7379971138,Storledbakken,tertiary,10.873,50,6.166992@6.166845@6.166802,62.471994@62.472027@62.472037
27,278086241,7379971137,Grensegata,residential,59.478,50,6.166992@6.166989@6.166953@6.166897,62.471994@62.47204@62.472259@62.472527
28,278086299,7379970183,Parkvegen,residential,87.306,50,6.161672@6.161611@6.161581@6.160892@6.160391@6.160333@6.160253,62.47307@62.473073@62.473068@62.472874@62.472737@62.472709@62.47266
29,278086299,7379970512,Rådstugata,residential,55.77,50,6.161672@6.161695@6.161714@6.161747@6.161797@6.1618082@6.16182@6.16183@6.161843,62.47307@62.473065@62.473052@62.472975@62.472769@62.4727377@62.472705@62.47265@62.472582
30,278199339,7379970616,Nedre Strandgate,trunk,28.949,50,6.151239@6.151149@6.1510886@6.150706,62.470807@62.470793@62.4707815@62.470723
