N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.10.2021;17,7;12,8;7,3;0
Ørskog;SN60800;02.10.2021;17,5;11,6;7,7;0
Ørskog;SN60800;03.10.2021;17,6;12,5;5,2;0
Ørskog;SN60800;04.10.2021;16,5;14,2;9,5;0
Ørskog;SN60800;05.10.2021;15,6;12,6;10,3;0
Ørskog;SN60800;06.10.2021;14,4;10,3;6,5;0
Ørskog;SN60800;07.10.2021;13,9;11,8;8;0
Ørskog;SN60800;08.10.2021;16,3;13,5;12,3;0
Ørskog;SN60800;09.10.2021;20,8;16,4;11,9;0
Ørskog;SN60800;10.10.2021;17,7;11;9,1;0
Ørskog;SN60800;11.10.2021;9,1;6,6;5;0
Ørskog;SN60800;12.10.2021;8,7;5,7;4,7;0
Ørskog;SN60800;13.10.2021;8,3;6,2;2,5;0
Ørskog;SN60800;14.10.2021;11,3;9,6;7,4;0
Ørskog;SN60800;15.10.2021;8,4;5,1;3,4;0
Ørskog;SN60800;16.10.2021;7,3;4,6;2,9;0
Ørskog;SN60800;17.10.2021;4,3;2,5;1;0
Ørskog;SN60800;18.10.2021;6,1;3,5;-0,6;0
Ørskog;SN60800;19.10.2021;12,9;9,6;5,5;0
Ørskog;SN60800;20.10.2021;11,9;8;6,1;0
Ørskog;SN60800;21.10.2021;6,5;5;3,4;0
Ørskog;SN60800;22.10.2021;7,1;5,3;3,3;0
Ørskog;SN60800;23.10.2021;7,4;5,3;2;0
Ørskog;SN60800;24.10.2021;14,5;12,8;6,8;0
Ørskog;SN60800;25.10.2021;14,1;11,3;9,1;0
Ørskog;SN60800;26.10.2021;10,6;7,9;4,4;0
Ørskog;SN60800;27.10.2021;13,4;10,5;7,5;0
Ørskog;SN60800;28.10.2021;14,6;11;9,1;0
Ørskog;SN60800;29.10.2021;13,8;11,4;9,5;0
Ørskog;SN60800;30.10.2021;16,1;12,7;8,1;0
Ørskog;SN60800;31.10.2021;15,7;10,8;6,9;0
Ørskog;SN60800;01.11.2021;15,1;10,7;5;0
Ørskog;SN60800;02.11.2021;15,9;9,9;5,7;0
Ørskog;SN60800;03.11.2021;9,6;3,9;2,3;0
Ørskog;SN60800;04.11.2021;7,1;3;1;0
Ørskog;SN60800;05.11.2021;6,8;5,3;1,2;0
Ørskog;SN60800;06.11.2021;6,7;4;1,6;0
Ørskog;SN60800;07.11.2021;6,6;3,8;1,2;0
Ørskog;SN60800;08.11.2021;7;3,5;-1,7;0
Ørskog;SN60800;09.11.2021;12,1;9,6;7;0
Ørskog;SN60800;10.11.2021;11,7;6,6;4,7;0
Ørskog;SN60800;11.11.2021;11;6,9;4,7;0
Ørskog;SN60800;12.11.2021;6,8;3,8;1,4;0
Ørskog;SN60800;13.11.2021;8,2;5,3;2,6;0
Ørskog;SN60800;14.11.2021;7,4;3,6;0,5;0
Ørskog;SN60800;15.11.2021;12,2;9,5;3,4;0
Ørskog;SN60800;16.11.2021;13,8;11,8;7,1;0
Ørskog;SN60800;17.11.2021;14,3;5,1;3,3;0
Ørskog;SN60800;18.11.2021;5,8;4,2;2,4;0
Ørskog;SN60800;19.11.2021;11,2;7,5;4,3;0
Ørskog;SN60800;20.11.2021;7,5;4,6;2,6;0
Ørskog;SN60800;21.11.2021;2,6;1,2;0,4;0
Ørskog;SN60800;22.11.2021;7,6;4;0,2;0
Ørskog;SN60800;23.11.2021;8,2;6,3;3,9;0
Ørskog;SN60800;24.11.2021;9,7;4,7;2,3;0
Ørskog;SN60800;25.11.2021;2,3;0,1;-0,3;3
Ørskog;SN60800;26.11.2021;-0,2;-4,9;-7,1;15
Ørskog;SN60800;27.11.2021;-6,7;-8,4;-9,1;13
Ørskog;SN60800;28.11.2021;-4,4;-7,1;-10,4;11
Ørskog;SN60800;29.11.2021;2;-1,7;-8,2;9
Ørskog;SN60800;30.11.2021;2,5;-0,4;-1,5;17
Ørskog;SN60800;01.12.2021;-0,4;-4,2;-7;33
Ørskog;SN60800;02.12.2021;1;-3,4;-5,7;44
Ørskog;SN60800;03.12.2021;-1,8;-5,3;-11,3;39
Ørskog;SN60800;04.12.2021;3,8;2,3;-1,9;32
Ørskog;SN60800;05.12.2021;3,3;1,4;0,7;28
Ørskog;SN60800;06.12.2021;1;-0,6;-0,9;26
Ørskog;SN60800;07.12.2021;2,6;1;-1,2;23
Ørskog;SN60800;08.12.2021;2,8;2,2;-0,5;21
Ørskog;SN60800;09.12.2021;5;4;1,2;19
Ørskog;SN60800;10.12.2021;5;2,4;1;18
Ørskog;SN60800;11.12.2021;1,8;-1,4;-5,6;17
Ørskog;SN60800;12.12.2021;7,4;6,2;-2,2;14
Ørskog;SN60800;13.12.2021;11,7;7,5;3,5;4
Ørskog;SN60800;14.12.2021;8,4;6,6;3,9;0
Ørskog;SN60800;15.12.2021;8,7;7;4,3;0
Ørskog;SN60800;16.12.2021;8,5;6,3;5,5;0
Ørskog;SN60800;17.12.2021;7,8;6,8;3,1;0
Ørskog;SN60800;18.12.2021;9;7,9;6,8;0
Ørskog;SN60800;19.12.2021;7,9;1,9;0,6;0
Ørskog;SN60800;20.12.2021;1,4;0,5;-0,4;0
Ørskog;SN60800;21.12.2021;4,1;2,3;-1;0
Ørskog;SN60800;22.12.2021;4,7;1,2;0,5;0
Ørskog;SN60800;23.12.2021;1,6;-0,8;-2,7;0
Ørskog;SN60800;24.12.2021;0,6;-5,5;-9,8;6
Ørskog;SN60800;25.12.2021;1,1;-0,8;-4,7;31
Ørskog;SN60800;26.12.2021;1,4;0,4;0,1;34
Ørskog;SN60800;27.12.2021;0,5;-2,3;-5,8;27
Ørskog;SN60800;28.12.2021;1,7;0,4;-1,6;25
Ørskog;SN60800;29.12.2021;6,6;2,2;-3,4;23
Ørskog;SN60800;30.12.2021;4,8;1,9;-0,8;20
Ørskog;SN60800;31.12.2021;0,8;0,3;-0,8;16
