i,j,t,r
0,78,0,37.9764
0,78,1,39.58113
0,78,2,37.9764
0,78,3,37.9764
0,78,4,37.9764
0,78,5,37.9764
0,78,6,37.9764
0,78,7,37.9764
0,78,8,37.9764
0,78,9,37.9764
0,78,10,42.5799
0,78,11,47.63212
0,78,12,61.09464
0,78,13,56.20664
0,78,14,53.02488
0,78,15,52.04285
0,78,16,50.18404
0,78,17,47.63212
0,78,18,46.8382
0,78,19,46.8382
0,78,20,46.0703
0,78,21,44.60765
0,78,22,43.91061
0,78,23,43.23502
0,78,24,43.23502
0,78,25,44.60765
0,78,26,47.63212
0,78,27,54.04467
0,78,28,50.18404
0,78,29,54.04467
0,78,30,94.94099
0,78,31,94.94099
0,78,32,94.94099
0,78,33,90.66066
0,78,34,82.66018
0,78,35,80.29816
0,78,36,75.95721
0,78,37,73.95811
0,78,38,73.95811
0,78,39,72.06154
0,78,40,75.95721
0,78,41,73.95811
0,78,42,73.95811
0,78,43,73.95811
0,78,44,72.06154
0,78,45,72.06154
0,78,46,68.54598
0,78,47,62.45242
0,78,48,58.54879
0,78,49,53.02488
0,78,50,46.0703
0,78,51,37.9764
0,78,52,37.9764
0,78,53,37.9764
0,78,54,37.9764
0,78,55,37.9764
0,78,56,37.9764
0,78,57,37.9764
0,78,58,37.9764
0,78,59,37.9764
0,78,60,37.9764
0,78,61,37.9764
0,78,62,37.9764
0,78,63,53.02488
0,78,64,37.9764
0,78,65,37.9764
0,78,66,40.14661
0,78,67,44.60765
0,78,68,37.9764
0,78,69,37.9764
0,78,70,37.9764
0,78,71,37.9764
0,78,72,37.9764
0,78,73,37.9764
0,78,74,37.9764
0,78,75,37.9764
0,78,76,37.9764
0,78,77,37.9764
0,78,78,37.9764
0,78,79,37.9764
0,78,80,37.9764
0,78,81,37.9764
0,78,82,37.9764
0,78,83,37.9764
0,78,84,37.9764
0,78,85,37.9764
0,78,86,37.9764
0,78,87,37.9764
0,78,88,37.9764
0,78,89,37.9764
0,99,0,1.84104
0,99,1,1.918816
0,99,2,1.84104
0,99,3,1.84104
0,99,4,1.84104
0,99,5,1.84104
0,99,6,1.84104
0,99,7,1.84104
0,99,8,1.84104
0,99,9,1.84104
0,99,10,2.064152
0,99,11,2.308996
0,99,12,2.961351
0,99,13,2.724505
0,99,14,2.570327
0,99,15,2.52274
0,99,16,2.432663
0,99,17,2.308996
0,99,18,2.270521
0,99,19,2.270521
0,99,20,2.233308
0,99,21,2.162424
0,99,22,2.128643
0,99,23,2.095901
0,99,24,2.095901
0,99,25,2.162424
0,99,26,2.308996
0,99,27,2.619744
0,99,28,2.432663
0,99,29,2.619744
0,99,30,4.6026
0,99,31,4.6026
0,99,32,4.6026
0,99,33,4.393652
0,99,34,4.006127
0,99,35,3.89171
0,99,36,3.681422
0,99,37,3.584576
0,99,38,3.584576
0,99,39,3.492696
0,99,40,3.681422
0,99,41,3.584576
0,99,42,3.584576
0,99,43,3.584576
0,99,44,3.492696
0,99,45,3.492696
0,99,46,3.322375
0,99,47,3.027139
0,99,48,2.837995
0,99,49,2.570327
0,99,50,2.233308
0,99,51,1.84104
0,99,52,1.84104
0,99,53,1.84104
0,99,54,1.84104
0,99,55,1.84104
0,99,56,1.84104
0,99,57,1.84104
0,99,58,1.84104
0,99,59,1.84104
0,99,60,1.84104
0,99,61,1.84104
0,99,62,1.84104
0,99,63,2.570327
0,99,64,1.84104
0,99,65,1.84104
0,99,66,1.946222
0,99,67,2.162424
0,99,68,1.84104
0,99,69,1.84104
0,99,70,1.84104
0,99,71,1.84104
0,99,72,1.84104
0,99,73,1.84104
0,99,74,1.84104
0,99,75,1.84104
0,99,76,1.84104
0,99,77,1.84104
0,99,78,1.84104
0,99,79,1.84104
0,99,80,1.84104
0,99,81,1.84104
0,99,82,1.84104
0,99,83,1.84104
0,99,84,1.84104
0,99,85,1.84104
0,99,86,1.84104
0,99,87,1.84104
0,99,88,1.84104
0,99,89,1.84104
0,100,0,2.54376
0,100,1,2.651233
0,100,2,2.54376
0,100,3,2.54376
0,100,4,2.54376
0,100,5,2.54376
0,100,6,2.54376
0,100,7,2.54376
0,100,8,2.54376
0,100,9,2.54376
0,100,10,2.852063
0,100,11,3.190406
0,100,12,4.091912
0,100,13,3.764602
0,100,14,3.551538
0,100,15,3.485777
0,100,16,3.3613
0,100,17,3.190406
0,100,18,3.137238
0,100,19,3.137238
0,100,20,3.085814
0,100,21,2.987862
0,100,22,2.941181
0,100,23,2.895937
0,100,24,2.895937
0,100,25,2.987862
0,100,26,3.190406
0,100,27,3.619828
0,100,28,3.3613
0,100,29,3.619828
0,100,30,6.3594
0,100,31,6.3594
0,100,32,6.3594
0,100,33,6.071445
0,100,34,5.535834
0,100,35,5.377697
0,100,36,5.087063
0,100,37,4.953217
0,100,38,4.953217
0,100,39,4.826232
0,100,40,5.087063
0,100,41,4.953217
0,100,42,4.953217
0,100,43,4.953217
0,100,44,4.826232
0,100,45,4.826232
0,100,46,4.590845
0,100,47,4.18283
0,100,48,3.921439
0,100,49,3.551538
0,100,50,3.085814
0,100,51,2.54376
0,100,52,2.54376
0,100,53,2.54376
0,100,54,2.54376
0,100,55,2.54376
0,100,56,2.54376
0,100,57,2.54376
0,100,58,2.54376
0,100,59,2.54376
0,100,60,2.54376
0,100,61,2.54376
0,100,62,2.54376
0,100,63,3.551538
0,100,64,2.54376
0,100,65,2.54376
0,100,66,2.689104
0,100,67,2.987862
0,100,68,2.54376
0,100,69,2.54376
0,100,70,2.54376
0,100,71,2.54376
0,100,72,2.54376
0,100,73,2.54376
0,100,74,2.54376
0,100,75,2.54376
0,100,76,2.54376
0,100,77,2.54376
0,100,78,2.54376
0,100,79,2.54376
0,100,80,2.54376
0,100,81,2.54376
0,100,82,2.54376
0,100,83,2.54376
0,100,84,2.54376
0,100,85,2.54376
0,100,86,2.54376
0,100,87,2.54376
0,100,88,2.54376
0,100,89,2.54376
1,5,0,18.55152
1,5,1,19.3366
1,5,2,18.55152
1,5,3,18.55152
1,5,4,18.55152
1,5,5,18.55152
1,5,6,18.55152
1,5,7,18.55152
1,5,8,18.55152
1,5,9,18.55152
1,5,10,20.80392
1,5,11,23.27676
1,5,12,29.87064
1,5,13,27.47576
1,5,14,25.91731
1,5,15,25.43639
1,5,16,24.52617
1,5,17,23.27676
1,5,18,22.88811
1,5,19,22.88811
