i,j,t,r
0,78,0,37.9764
0,78,1,40.0415
0,78,2,38.48793
0,78,3,38.48793
0,78,4,38.48793
0,78,5,38.48793
0,78,6,38.48793
0,78,7,38.48793
0,78,8,38.48793
0,78,9,40.06853
0,78,10,52.56992
0,78,11,61.66372
0,78,12,83.23443
0,78,13,74.85941
0,78,14,69.60658
0,78,15,67.54197
0,78,16,62.52628
0,78,17,54.82811
0,78,18,53.24504
0,78,19,52.46811
0,78,20,50.56517
0,78,21,47.48121
0,78,22,46.16919
0,78,23,44.92772
0,78,24,44.92772
0,78,25,47.95078
0,78,26,55.18743
0,78,27,69.67496
0,78,28,61.86131
0,78,29,77.57977
0,78,30,94.94099
0,78,31,94.94099
0,78,32,94.94099
0,78,33,94.94099
0,78,34,94.94099
0,78,35,94.94099
0,78,36,94.94099
0,78,37,94.94099
0,78,38,94.94099
0,78,39,94.94099
0,78,40,94.94099
0,78,41,94.94099
0,78,42,94.94099
0,78,43,94.94099
0,78,44,94.94099
0,78,45,94.94099
0,78,46,94.94099
0,78,47,86.48502
0,78,48,77.30138
0,78,49,63.38807
0,78,50,54.15925
0,78,51,42.813
0,78,52,42.49464
0,78,53,42.49464
0,78,54,42.18099
0,78,55,40.97134
0,78,56,38.48793
0,78,57,37.9764
0,78,58,37.9764
0,78,59,37.9764
0,78,60,37.9764
0,78,61,37.9764
0,78,62,39.17101
0,78,63,56.26658
0,78,64,38.23045
0,78,65,38.61797
0,78,66,40.73225
0,78,67,48.28354
0,78,68,39.96842
0,78,69,39.82914
0,78,70,39.82914
0,78,71,39.82914
0,78,72,39.82914
0,78,73,39.28159
0,78,74,39.69083
0,78,75,39.69083
0,78,76,39.28159
0,78,77,38.88071
0,78,78,37.9764
0,78,79,38.61797
0,78,80,37.9764
0,78,81,37.9764
0,78,82,37.9764
0,78,83,37.9764
0,78,84,37.9764
0,78,85,37.9764
0,78,86,37.9764
0,78,87,37.9764
0,78,88,37.9764
0,78,89,37.9764
0,99,0,1.84104
0,99,1,1.941184
0,99,2,1.865865
0,99,3,1.865865
0,99,4,1.865865
0,99,5,1.865865
0,99,6,1.865865
0,99,7,1.865865
0,99,8,1.865865
0,99,9,1.942513
0,99,10,2.548417
0,99,11,2.989295
0,99,12,4.035287
0,99,13,3.629231
0,99,14,3.374554
0,99,15,3.274479
0,99,16,3.031399
0,99,17,2.658329
0,99,18,2.581592
0,99,19,2.543905
0,99,20,2.451632
0,99,21,2.302015
0,99,22,2.238369
0,99,23,2.178148
0,99,24,2.178148
0,99,25,2.32476
0,99,26,2.675708
0,99,27,3.378546
0,99,28,2.99956
0,99,29,3.762165
0,99,30,4.6026
0,99,31,4.6026
0,99,32,4.6026
0,99,33,4.6026
0,99,34,4.6026
0,99,35,4.6026
0,99,36,4.6026
0,99,37,4.6026
0,99,38,4.6026
0,99,39,4.6026
0,99,40,4.6026
0,99,41,4.6026
0,99,42,4.6026
0,99,43,4.6026
0,99,44,4.6026
0,99,45,4.6026
0,99,46,4.6026
0,99,47,4.1941
0,99,48,3.748543
0,99,49,3.07373
0,99,50,2.626114
0,99,51,2.075798
0,99,52,2.060343
0,99,53,2.060343
0,99,54,2.045117
