i,j,t,r
0,13,0,115
0,13,1,126
0,13,2,82
0,13,3,82
0,13,4,42
0,13,5,138
0,13,6,129
0,13,7,114
0,13,8,49
0,13,9,124
1,9,0,187
1,9,1,147
1,9,2,188
1,9,3,183
1,9,4,167
1,9,5,195
1,9,6,176
1,9,7,154
1,9,8,215
1,9,9,227
2,4,0,286
2,4,1,222
2,4,2,244
2,4,3,288
2,4,4,205
2,4,5,283
2,4,6,270
2,4,7,229
2,4,8,224
2,4,9,226
2,9,0,65
2,9,1,105
2,9,2,53
2,9,3,40
2,9,4,85
2,9,5,97
2,9,6,86
2,9,7,45
2,9,8,68
2,9,9,63
2,22,0,283
2,22,1,342
2,22,2,299
2,22,3,333
2,22,4,308
2,22,5,351
2,22,6,370
2,22,7,296
2,22,8,375
2,22,9,320
3,6,0,81
3,6,1,87
3,6,2,12
3,6,3,42
3,6,4,106
3,6,5,92
3,6,6,49
3,6,7,68
3,6,8,92
3,6,9,23
3,22,0,97
3,22,1,168
3,22,2,170
3,22,3,142
3,22,4,110
3,22,5,165
3,22,6,126
3,22,7,174
3,22,8,168
3,22,9,160
4,2,0,227
4,2,1,309
4,2,2,250
4,2,3,228
4,2,4,263
4,2,5,290
4,2,6,242
4,2,7,265
4,2,8,249
4,2,9,257
4,12,0,32
4,12,1,68
4,12,2,41
4,12,3,65
4,12,4,36
4,12,5,15
4,12,6,42
4,12,7,61
4,12,8,66
4,12,9,30
5,8,0,73
5,8,1,131
5,8,2,70
5,8,3,79
5,8,4,122
5,8,5,80
5,8,6,133
5,8,7,76
5,8,8,157
5,8,9,86
5,22,0,92
5,22,1,156
5,22,2,132
5,22,3,88
5,22,4,132
5,22,5,119
5,22,6,131
5,22,7,142
5,22,8,112
5,22,9,122
5,23,0,153
5,23,1,132
5,23,2,143
5,23,3,66
5,23,4,139
5,23,5,128
5,23,6,124
5,23,7,141
5,23,8,56
5,23,9,63
6,3,0,95
6,3,1,48
6,3,2,18
6,3,3,53
6,3,4,37
6,3,5,77
6,3,6,90
6,3,7,11
6,3,8,60
6,3,9,16
7,11,0,254
7,11,1,248
7,11,2,279
7,11,3,206
7,11,4,246
7,11,5,228
7,11,6,188
7,11,7,267
7,11,8,235
7,11,9,261
7,15,0,64
7,15,1,98
7,15,2,33
7,15,3,18
7,15,4,100
7,15,5,95
7,15,6,56
7,15,7,111
7,15,8,105
7,15,9,19
7,20,0,113
7,20,1,94
7,20,2,103
7,20,3,109
7,20,4,21
7,20,5,116
7,20,6,43
7,20,7,66
7,20,8,27
7,20,9,75
7,21,0,140
7,21,1,159
7,21,2,85
7,21,3,148
7,21,4,109
7,21,5,118
7,21,6,157
7,21,7,175
7,21,8,159
7,21,9,82
8,5,0,109
8,5,1,71
8,5,2,129
8,5,3,154
8,5,4,120
8,5,5,72
8,5,6,111
8,5,7,98
8,5,8,150
8,5,9,98
8,16,0,199
8,16,1,129
8,16,2,185
8,16,3,164
8,16,4,205
8,16,5,131
8,16,6,170
8,16,7,177
8,16,8,177
8,16,9,207
8,17,0,78
8,17,1,123
8,17,2,104
8,17,3,116
8,17,4,48
8,17,5,76
8,17,6,89
8,17,7,62
8,17,8,75
8,17,9,110
8,23,0,121
8,23,1,89
8,23,2,61
8,23,3,92
8,23,4,116
8,23,5,52
8,23,6,131
8,23,7,81
8,23,8,119
8,23,9,116
9,1,0,167
9,1,1,221
9,1,2,200
9,1,3,208
9,1,4,199
9,1,5,216
9,1,6,186
9,1,7,225
9,1,8,232
9,1,9,165
9,2,0,43
9,2,1,96
9,2,2,24
9,2,3,90
9,2,4,31
9,2,5,103
9,2,6,64
9,2,7,65
9,2,8,107
9,2,9,29
10,13,0,29
10,13,1,49
10,13,2,39
10,13,3,21
10,13,4,46
10,13,5,69
10,13,6,83
10,13,7,88
10,13,8,11
10,13,9,106
11,7,0,195
11,7,1,238
11,7,2,205
11,7,3,210
11,7,4,209
11,7,5,242
11,7,6,260
11,7,7,192
11,7,8,265
11,7,9,247
12,4,0,98
12,4,1,89
12,4,2,62
12,4,3,87
12,4,4,52
12,4,5,76
12,4,6,60
12,4,7,51
12,4,8,72
12,4,9,36
13,0,0,40
13,0,1,131
13,0,2,86
13,0,3,58
13,0,4,121
13,0,5,121
13,0,6,56
13,0,7,97
13,0,8,76
13,0,9,103
13,10,0,85
13,10,1,22
13,10,2,38
13,10,3,52
13,10,4,103
13,10,5,81
13,10,6,83
13,10,7,10
13,10,8,39
13,10,9,26
13,22,0,158
13,22,1,156
13,22,2,193
13,22,3,180
13,22,4,114
13,22,5,111
13,22,6,147
13,22,7,182
13,22,8,181
13,22,9,110
14,15,0,21
14,15,1,60
14,15,2,39
14,15,3,70
14,15,4,49
14,15,5,82
14,15,6,9
14,15,7,71
14,15,8,28
14,15,9,100
14,24,0,137
14,24,1,114
14,24,2,76
14,24,3,93
14,24,4,116
14,24,5,129
14,24,6,107
14,24,7,85
14,24,8,106
14,24,9,112
15,7,0,62
15,7,1,64
15,7,2,68
15,7,3,102
15,7,4,102
15,7,5,42
15,7,6,69
15,7,7,32
15,7,8,68
15,7,9,74
15,14,0,84
15,14,1,7
15,14,2,24
15,14,3,34
15,14,4,73
15,14,5,16
15,14,6,27
15,14,7,105
15,14,8,46
15,14,9,103
15,20,0,80
15,20,1,34
15,20,2,72
15,20,3,69
15,20,4,121
15,20,5,117
15,20,6,81
15,20,7,115
15,20,8,115
15,20,9,37
16,8,0,133
16,8,1,126
16,8,2,143
16,8,3,190
16,8,4,199
16,8,5,131
16,8,6,121
16,8,7,143
16,8,8,150
16,8,9,205
16,23,0,104
16,23,1,146
16,23,2,178
16,23,3,118
16,23,4,184
16,23,5,184
16,23,6,136
16,23,7,153
16,23,8,120
16,23,9,176
17,8,0,140
17,8,1,79
17,8,2,95
17,8,3,134
17,8,4,79
17,8,5,86
17,8,6,105
17,8,7,61
17,8,8,63
17,8,9,67
17,20,0,112
17,20,1,68
17,20,2,61
17,20,3,118
17,20,4,125
17,20,5,41
17,20,6,123
17,20,7,107
17,20,8,51
17,20,9,76
17,23,0,68
17,23,1,118
17,23,2,74
17,23,3,73
17,23,4,59
17,23,5,69
17,23,6,83
17,23,7,90
17,23,8,40
17,23,9,59
17,24,0,37
17,24,1,57
17,24,2,94
17,24,3,111
17,24,4,99
17,24,5,111
17,24,6,52
17,24,7,57
17,24,8,45
17,24,9,76
18,22,0,102
18,22,1,174
18,22,2,121
18,22,3,175
18,22,4,178
18,22,5,168
18,22,6,182
18,22,7,97
18,22,8,131
18,22,9,157
18,23,0,77
18,23,1,44
18,23,2,130
18,23,3,91
18,23,4,67
18,23,5,33
18,23,6,99
18,23,7,109
18,23,8,48
18,23,9,88
18,24,0,38
18,24,1,53
18,24,2,88
18,24,3,64
18,24,4,129
18,24,5,74
18,24,6,113
18,24,7,44
18,24,8,111
18,24,9,84
19,12,0,84
19,12,1,46
19,12,2,33
19,12,3,39
19,12,4,16
19,12,5,83
19,12,6,64
19,12,7,55
19,12,8,44
19,12,9,14
20,7,0,111
20,7,1,30
20,7,2,50
20,7,3,27
20,7,4,113
20,7,5,65
20,7,6,35
20,7,7,35
20,7,8,83
20,7,9,51
20,15,0,107
20,15,1,96
20,15,2,59
20,15,3,76
20,15,4,61
20,15,5,107
20,15,6,83
20,15,7,89
20,15,8,57
20,15,9,39
20,17,0,146
20,17,1,94
20,17,2,136
20,17,3,64
20,17,4,87
20,17,5,119
20,17,6,120
20,17,7,110
20,17,8,99
