i,j,t,r
0,2,0,52
0,2,1,92
0,2,2,22
0,2,3,16
0,4,0,58
0,4,1,7
0,4,2,74
0,4,3,60
0,13,0,66
0,13,1,74
0,13,2,93
0,13,3,37
1,29,0,77
1,29,1,13
1,29,2,19
1,29,3,58
1,37,0,81
1,37,1,21
1,37,2,78
1,37,3,17
1,57,0,76
1,57,1,18
1,57,2,91
1,57,3,70
1,77,0,41
1,77,1,78
1,77,2,9
1,77,3,28
1,93,0,6.75
1,93,1,24.75
1,93,2,43.75
1,93,3,28.75
2,0,0,23
2,0,1,103
2,0,2,9
2,0,3,86
2,3,0,12
2,3,1,38
2,3,2,22
2,3,3,12
3,2,0,83
3,2,1,49
3,2,2,102
3,2,3,8
3,46,0,28
3,46,1,108
3,46,2,49
3,46,3,18
3,47,0,72
3,47,1,84
3,47,2,36
3,47,3,17
4,0,0,29
4,0,1,101
4,0,2,65
4,0,3,22
4,10,0,58
4,10,1,84
4,10,2,36
4,10,3,48
5,6,0,13
5,6,1,43
5,6,2,33
5,6,3,8
5,75,0,60
5,75,1,23
5,75,2,38
5,75,3,28
5,76,0,7
5,76,1,7
5,76,2,77
5,76,3,10
6,5,0,62
6,5,1,95
6,5,2,74
6,5,3,9
6,19,0,105
6,19,1,99
6,19,2,8
6,19,3,50
6,75,0,38
6,75,1,18
6,75,2,22
6,75,3,38
7,23,0,56
7,23,1,28
7,23,2,83
7,23,3,70
7,75,0,78
7,75,1,32
7,75,2,92
7,75,3,102
7,86,0,54
7,86,1,99
7,86,2,66
7,86,3,63
8,19,0,70
8,19,1,88
8,19,2,71
8,19,3,45
8,67,0,12
8,67,1,71
8,67,2,22
8,67,3,60
9,66,0,77
9,66,1,93
9,66,2,37
9,66,3,77
9,76,0,64
9,76,1,69
9,76,2,100
9,76,3,62
9,80,0,71
9,80,1,76
9,80,2,63
9,80,3,23
10,4,0,39
10,4,1,53
10,4,2,77
10,4,3,36
10,16,0,97
10,16,1,85
10,16,2,48
10,16,3,29
10,44,0,63.75
10,44,1,80.75
10,44,2,56.75
10,44,3,58.75
10,46,0,24
10,46,1,24
10,46,2,88
10,46,3,59
11,12,0,15
11,12,1,93
11,12,2,98
11,12,3,104
11,21,0,48
11,21,1,85
11,21,2,15
11,21,3,59
12,11,0,105
12,11,1,94
12,11,2,109
12,11,3,102
12,21,0,29.75
12,21,1,3.75
12,21,2,64.75
12,21,3,36.75
12,28,0,77
12,28,1,17
12,28,2,83
12,28,3,98
13,0,0,67
13,0,1,83
13,0,2,71
13,0,3,105
13,36,0,85
13,36,1,21
13,36,2,83
13,36,3,59
14,15,0,32
14,15,1,94
14,15,2,94
14,15,3,96
14,26,0,78
14,26,1,61
14,26,2,92
14,26,3,86
14,27,0,59
14,27,1,102
14,27,2,18
14,27,3,76
14,30,0,17
14,30,1,95
14,30,2,108
14,30,3,24
14,49,0,76
14,49,1,108
14,49,2,35
14,49,3,105
