i,j,t,r
0,2,0,12
0,2,1,14
0,2,2,50
0,2,3,50
0,3,0,30
0,3,1,20
0,3,2,16
0,3,3,42
0,4,0,100
0,4,1,42
0,4,2,16
0,4,3,89
0,24,0,75
0,24,1,105
0,24,2,26
0,24,3,76
1,9,0,35
1,9,1,61
1,9,2,65
1,9,3,18
1,30,0,94
1,30,1,47
1,30,2,59
1,30,3,79
1,40,0,23
1,40,1,23
1,40,2,19
1,40,3,74
1,44,0,106
1,44,1,85
1,44,2,78
1,44,3,51
2,0,0,30
2,0,1,57
2,0,2,36
2,0,3,86
2,4,0,93
2,4,1,91
2,4,2,21
2,4,3,15
2,20,0,32
2,20,1,48
2,20,2,81
2,20,3,72
2,52,0,72
2,52,1,38
2,52,2,49
2,52,3,47
3,0,0,77
3,0,1,26
3,0,2,102
3,0,3,88
3,20,0,62
3,20,1,22
3,20,2,36
3,20,3,47
3,37,0,49
3,37,1,97
3,37,2,10
3,37,3,75
4,2,0,55
4,2,1,84
4,2,2,66
4,2,3,61
4,15,0,89
4,15,1,47
4,15,2,24
4,15,3,27
4,24,0,48
4,24,1,101
4,24,2,28
4,24,3,100
4,38,0,41
4,38,1,103
4,38,2,21
4,38,3,87
5,6,0,66
5,6,1,87
5,6,2,105
5,6,3,53
5,78,0,91
5,78,1,9
5,78,2,46
5,78,3,57
5,85,0,72
5,85,1,10
5,85,2,13
5,85,3,45
6,5,0,44
6,5,1,107
6,5,2,43
6,5,3,42
6,85,0,92
6,85,1,17
6,85,2,64
6,85,3,17
6,88,0,96
6,88,1,107
6,88,2,55
6,88,3,78
6,97,0,54
6,97,1,14
6,97,2,52
6,97,3,17
7,18,0,109
7,18,1,12
7,18,2,90
7,18,3,11
7,71,0,55
7,71,1,33
7,71,2,88
7,71,3,16
7,78,0,8
7,78,1,80
7,78,2,66
7,78,3,55
7,93,0,93
7,93,1,38
7,93,2,32
7,93,3,22
8,67,0,105
8,67,1,70
8,67,2,69
8,67,3,22
8,87,0,32
8,87,1,100
8,87,2,20
8,87,3,6
8,100,0,24
8,100,1,86
8,100,2,84
8,100,3,51
9,1,0,66
9,1,1,72
9,1,2,36
9,1,3,75
9,40,0,62
9,40,1,16
9,40,2,35
9,40,3,85
9,76,0,64
9,76,1,72
9,76,2,83
9,76,3,98
9,81,0,67
9,81,1,93
9,81,2,68
9,81,3,29
9,104,0,86.75
9,104,1,53.75
9,104,2,61.75
9,104,3,28.75
10,11,0,58
10,11,1,109
10,11,2,67
10,11,3,102
10,32,0,104
10,32,1,74
10,32,2,62
10,32,3,68
10,38,0,23
10,38,1,68
10,38,2,38
10,38,3,17
11,10,0,86
11,10,1,97
11,10,2,107
11,10,3,104
11,25,0,35
11,25,1,23
11,25,2,20
11,25,3,53
11,28,0,81
11,28,1,102
11,28,2,82
11,28,3,72
11,32,0,29
11,32,1,25
11,32,2,58
11,32,3,30
11,44,0,30.75
11,44,1,40.75
11,44,2,29.75
11,44,3,98.75
12,27,0,14
12,27,1,16
12,27,2,85
12,27,3,105
12,37,0,13
12,37,1,45
12,37,2,53
12,37,3,97
13,14,0,18
13,14,1,84
13,14,2,19
13,14,3,18
13,26,0,83
13,26,1,91
13,26,2,48
13,26,3,20
13,47,0,15
13,47,1,96
13,47,2,23
13,47,3,30
14,13,0,60
14,13,1,65
14,13,2,60
14,13,3,41
14,31,0,33
14,31,1,87
14,31,2,56
14,31,3,66
15,4,0,97
15,4,1,104
15,4,2,21
15,4,3,57
15,22,0,91
15,22,1,49
15,22,2,72
15,22,3,52
15,29,0,40
15,29,1,5
15,29,2,38
15,29,3,6
15,34,0,99
15,34,1,26
15,34,2,87
15,34,3,13
15,51,0,14
15,51,1,30
15,51,2,58
15,51,3,77
15,56,0,86.75
15,56,1,4.75
15,56,2,78.75
15,56,3,4.75
16,64,0,86
16,64,1,52
16,64,2,19
16,64,3,6
16,80,0,89.28571
16,80,1,39.28571
16,80,2,72.28571
16,80,3,71.28571
16,82,0,73
16,82,1,96
16,82,2,36
16,82,3,64
16,93,0,94
16,93,1,101
16,93,2,9
16,93,3,92
17,64,0,43
17,64,1,24
17,64,2,9
17,64,3,70
18,7,0,97
18,7,1,30
18,7,2,62
18,7,3,102
18,66,0,109
18,66,1,58
18,66,2,70
18,66,3,75
18,78,0,45
18,78,1,48
18,78,2,61
18,78,3,92
18,83,0,20
18,83,1,63
18,83,2,76
18,83,3,23
18,93,0,14
18,93,1,20
18,93,2,15
18,93,3,75
19,23,0,90
19,23,1,30
19,23,2,32
