i,j,t,r
0,1,0,7.459178
0,1,1,6.045527
0,1,2,5.22097
0,1,3,5.22097
0,1,4,5.686308
0,1,5,10.83835
0,1,6,8.446748
0,1,7,7.459178
0,1,8,7.179381
0,1,9,6.919815
0,1,10,5.522244
0,1,11,5.082332
0,1,12,4.285714
0,1,13,4.285714
0,1,14,4.285714
0,1,15,4.285714
0,1,16,4.950867
0,1,17,4.594341
0,1,18,4.285714
0,1,19,6.045527
0,1,20,8.446748
0,1,21,6.453194
0,1,22,5.522244
0,1,23,4.285714
0,1,24,4.285714
0,1,25,4.285714
0,1,26,4.285714
0,1,27,4.285714
0,1,28,4.285714
0,1,29,4.285714
0,1,30,4.285714
0,1,31,6.453194
0,1,32,12.22262
0,1,33,13.05641
0,1,34,6.453194
0,1,35,6.919815
0,1,36,7.459178
0,1,37,6.919815
0,1,38,6.045527
0,1,39,5.860418
0,1,40,5.686308
0,1,41,7.179381
0,1,42,6.919815
0,1,43,5.522244
0,1,44,5.082332
0,1,45,4.950867
0,1,46,4.950867
0,1,47,5.082332
0,1,48,5.082332
0,1,49,6.919815
0,1,50,17.95599
0,1,51,13.05641
0,1,52,16.41592
0,1,53,10.83835
0,1,54,8.446748
0,1,55,7.761669
0,1,56,8.446748
0,1,57,6.045527
0,1,58,5.367383
0,3,0,7.041993
0,3,1,5.853235
0,3,2,5.131379
0,3,3,5.131379
0,3,4,5.54142
0,3,5,9.657047
0,3,6,7.83791
0,3,7,7.041993
0,3,8,6.811432
0,3,9,6.595491
0,3,10,5.397647
0,3,11,5.007859
0,3,12,4.285714
0,3,13,4.285714
0,3,14,4.285714
0,3,15,4.285714
0,3,16,4.890146
0,3,17,4.568022
0,3,18,4.285714
0,3,19,5.853235
0,3,20,7.83791
0,3,21,6.202235
0,3,22,5.397647
0,3,23,4.285714
0,3,24,4.285714
0,3,25,4.285714
0,3,26,4.285714
0,3,27,4.285714
0,3,28,4.285714
0,3,29,4.285714
0,3,30,4.285714
0,3,31,6.202235
0,3,32,10.64534
0,3,33,11.21943
0,3,34,6.202235
0,3,35,6.595491
0,3,36,7.041993
0,3,37,6.595491
0,3,38,5.853235
0,3,39,5.693061
0,3,40,5.54142
0,3,41,6.811432
0,3,42,6.595491
0,3,43,5.397647
0,3,44,5.007859
0,3,45,4.890146
0,3,46,4.890146
0,3,47,5.007859
0,3,48,5.007859
0,3,49,6.595491
0,3,50,14.30531
0,3,51,11.21943
0,3,52,13.38493
0,3,53,9.657047
0,3,54,7.83791
0,3,55,7.288709
0,3,56,7.83791
0,3,57,5.853235
0,3,58,5.261146
0,7,0,8.339727
0,7,1,6.887042
0,7,2,6.014059
0,7,3,6.014059
0,7,4,6.509105
0,7,5,11.60294
0,7,6,9.322975
0,7,7,8.339727
0,7,8,8.0565
0,7,9,7.791879
0,7,10,6.335276
0,7,11,5.865363
0,7,12,5
0,7,13,5
0,7,14,5
0,7,15,5
0,7,16,5.723843
0,7,17,5.337492
0,7,18,5
0,7,19,6.887042
0,7,20,9.322975
0,7,21,7.311573
0,7,22,6.335276
0,7,23,5
0,7,24,5
0,7,25,5
0,7,26,5
0,7,27,5
0,7,28,5
0,7,29,5
0,7,30,5
0,7,31,7.311573
0,7,32,12.86102
0,7,33,13.59823
0,7,34,7.311573
0,7,35,7.791879
0,7,36,8.339727
0,7,37,7.791879
0,7,38,6.887042
0,7,39,6.692742
0,7,40,6.509105
0,7,41,8.0565
0,7,42,7.791879
0,7,43,6.335276
0,7,44,5.865363
0,7,45,5.723843
0,7,46,5.723843
0,7,47,5.865363
0,7,48,5.865363
0,7,49,7.791879
0,7,50,17.64369
0,7,51,13.59823
0,7,52,16.42229
0,7,53,11.60294
0,7,54,9.322975
0,7,55,8.643593
0,7,56,9.322975
0,7,57,6.887042
0,7,58,6.17049
1,0,0,7.459178
1,0,1,6.045527
1,0,2,5.22097
1,0,3,5.22097
1,0,4,5.686308
1,0,5,10.83835
1,0,6,8.446748
1,0,7,7.459178
1,0,8,7.179381
